Datum;Uhrzeit;Veranstaltungen;Ort
Ab 09.10.2023;;Mathe Vorkurs;[PDF für weitere Infos](https://www.studierendenkanzlei.uni-bayreuth.de/pool/dokumente/WS2324_Vorkurs_Mathematik_Fak2.pdf)
Mittwoch 11.10.2023; 16:30-18:00 Uhr; "Wie geht Studieren?" PULS-Studiensupport stellt sich vor; [Zoom](https://uni-bayreuth.zoom.us/j/68695951957?pwd=aTJyU3J0M0hYVEFEWFlQemUrVHdPUT09)
Donnerstag / 12.10.2023;16.00-17.30 Uhr;cmlife-Einführung;[Microsoft Teams](https://teams.microsoft.com/l/meetup-join/19%3ameeting_MTllYzU0ZDEtNzdhMy00NmU3LTkzZGQtZjA1Mzk0NjZhNzYx%40thread.v2/0?context=%7b%22Tid%22%3a%2254d63e24-ac6d-4c5e-a8d6-ba978a0b286e%22%2c%22Oid%22%3a%22d0a0a0c7-d4e1-4183-a6d9-25da01b76d00%22%7d)
Freitag / 13.10.2023;ab 19 Uhr;Erste Kneipentour;Treffpunkt am Sternplatz, Mit [Anmeldung per Mail](mailto:fs-bcg@uni-bayeuth.de?subject=Anmeldung%20zur%201.%20Kneipentour)
Samstag / 14.10.2023;ab 13 Uhr;Stadtrallye, bis abends; Treffpunkt am Residenzplatz, Mit [Anmeldung per Mail](mailto:E-mail%20an%20fs-bcg@uni-bayeuth.de%20zur%20Anmeldung)
Montag / 16.10.2023;17 Uhr;Willkommen im Dschungel! Tipps & Tricks rund um den Studieneinstieg;H14 im NW1
Montag / 16.10.2023;18 Uhr;Immatrikulationsstunde für Erstsemester durch den Präsidenten;Audimax
Freitag / 20.10.2023;ab 19 Uhr;Zweite Kneipentour;Treffpunkt am Sternplatz, Mit [Anmeldung per Mail](mailto:fs-bcg@uni-bayeuth.de?subject=Anmeldung%20zur%201.%20Kneipentour)
Samstag / 21.10.2023;ab 13 Uhr;Fragestunde der Fachschaft;[Zoom](https://uni-bayreuth.zoom.us/j/66785120690?pwd=dE1jM0I2SjJ1eGYveUdtZmhHaWs4dz09)
3.11. - 5.11.2023;;Kennenlernfahrt zur Außenstation Wallenfels; Anmeldung am Mittowch 25.10.2023 in der FS
