Termin;Datum
Semesterbeginn;01.10.2023
Semesterende;31.03.2024
Vorlesungsbeginn;16.10.2023
Vorlesungsende;09.02.2023
Akademische Jahresfeier;21.11.2023, Beginn voraussichtlich 17 Uhr
Vorlesungsfrei;24.12.2023 bis 06.01.2024 (Weihnachtsferien)
Rückmeldung für das SoSe 2024;15.01.2023 bis 21.02.2024
;
Semesterbeginn;01.04.2024
Semesterende;30.09.2024
Vorlesungsbeginn;15.04.2024
Vorlesungsende;19.07.2024
UNIKAT – Das Sommerevent;noch kein Termin
Vorlesungsfrei;21.05.2024 (Dienstag nach Pfingsten)
Rückmeldung für das WiSe 2024/25;10.06.2024 bis 24.07.2023
